,0,0,0,0,0
0,대구광역시 북구 호국로 229 (서변동) 6층,(사)대구수의사회,053-764-3708,대구광역시 수성구,개+고양이+기타
1,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,(사)대구시수의사회,053-764-3708,대구광역시 중구,개+고양이+기타
2,부산광역시 강서구 제도로 726 (강동동) ,(사)하얀비둘기,051-293-9779,부산광역시 사하구,없음
3,"대구광역시 달성군 다사읍 달구벌대로 893 (다사읍, 대실요양병원 장례식장) 다사읍 관할",119동물병원,070-8028-1195,대구광역시 달성군,개+고양이
4,서울특별시 용산구 보광동 259-1,21세기동물병원,02-749-6750,서울특별시 용산구,없음
5,경기도 부천시 오정구 원종동 229-8,24시아이동물메디컬,032-677-5262,경기도 부천시,없음
6,"서울특별시 마포구 만리재로 74 (신공덕동, 신공덕2차삼성래미안) 삼성 래미안상가 117호",C.T종합동물병원,02-6375-0075,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터
7,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,GD동물병원,02-429-8822,서울특별시 강동구,없음
8,울산광역시 울주군 온산읍 덕신로 250 (온산읍) ,MK동물병원,052-237-2475,울산광역시 울주군,개
9,"경기도 부천시 소향로 246 (중동, 새롬프라자6차) ",cj동물병원,032-323-4999,경기도 부천시,없음
10,경기도 부천시 경인로 72 (송내동) ,가나동물병원,032-665-0075,경기도 부천시,없음
11,경기도 파주시 가온로 116 (목동동) ,가온동물병원,031-945-7552,경기도 파주시,없음
12,인천광역시 서구 가정로 346 (가정동) ,가정동물병원,032-575-0833,인천광역시 서구,개+고양이+기타반려동물
13,"경기도 가평군 가평읍 아랫마장길 59 (가평읍, 농업기술센터) 가평 유기동물 보호소(10:00~18:00)",가평군유기동물보호소,031-580-4788,경기도 가평군,개+고양이+기타
14,대구광역시 수성구 달구벌대로 3179 (매호동) 1층,감자동물병원,053-795-5589,대구광역시 수성구,개+고양이+기타
15,울산광역시 남구 돋질로 232 (달동) 1층,강남동물병원,052-271-0075,울산광역시 남구,개+고양이
16,"서울특별시 강동구 성내로 25 (성내동, 강동구청) 강동구청 ",강동구청 반려동물팀 ,02-3425-6015,서울특별시 강동구,없음
17,서울특별시 강동구 양재대로81길 73 (성내동) 강동구 유기동물 분양센터(reborn),강동리본센터(reborn),070-4163-7350,서울특별시 강동구,없음
18,강원도 강릉시 성산면 내맬길 172  ,강릉시동물사랑센터,033-641-7515,강원도 강릉시,개
19,"전라남도 강진군 강진읍 초지길 109-62 (강진읍, 강진군상하수도사업소) ",강진군 유기견 보호소,061-430-3613,전라남도 강진군,개
20,서울특별시 양천구 등촌로 160 (목동) 1층,강현림동물병원,02-2642-9159,서울특별시 양천구,개+고양이+기타
21,"경상남도 거제시 사등면 두동로1길 109 (사등면, 한국자원재생공사폐비닐적재장) 거제시유기동물보호소",거제시유기동물보호소,055-639-6368,경상남도 거제시,개+고양이
22,인천광역시 중구 개항로 68 (경동) ,경동동물병원,032-765-9988,인천광역시 동구,없음
23,인천광역시 중구 개항로 68 (경동) ,경동동물병원,032-765-9988,인천광역시 중구,개+고양이+기타
24,경상북도 경산시 용성면 사양지길 95 (용성면) ,경산시유기동물보호소,***********,경상북도 경산시,개+고양이
25,경상북도 경주시 용담로 12 (황성동) ,경주시유기동물보호소,***********,경상북도 경주시,개+고양이+기타
26,충청남도 계룡시 엄사면 천마로 12 ,계룡시유기동물보호소,***********,충청남도 계룡시,개+고양이
27,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,고성군유기동물보호소,055-670-4314,경상남도 고성군,개+고양이
28,"경기도 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터) 고양시동물보호센터",고양시동물보호센터,031-962-3232,경기도 고양시,개+고양이+기타축종
29,전라북도 고창군 무장면 원금곡길 13  ,고창동물병원,063-561-0561,전라북도 고창군,개+고양이+기타
30,"전라남도 고흥군 포두면 우주로 607 (포두면, 소매점) ",고흥군임시보호센터,***********,전라남도 고흥군,없음
31,경기도 광명시 오리로854번길 10 (철산동) 지하1층,광명반함센터,02-2680-5001,경기도 광명시,없음
32,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,광양시 임시보호소,061-797-3386,전라남도 광양시,개+고양이+기타
33,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주 동물보호소,062-571-2808,광주광역시 동구,없음
34,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주 동물보호소,062-571-2808,광주광역시 서구,없음
35,광주광역시 북구 본촌마을길 27 (본촌동) 광주공역시 동물보호소,광주 동물보호소,062-571-2808,광주광역시 광산구,없음
36,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주 동물보호소,062-571-2808,광주광역시 남구,없음
37,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,광주 동물보호소,062-571-2808,광주광역시 북구,개+고양이+기타
38,경기도 광주시 경안천로 144 (송정동) 1층,광주TNR동물병원송정,031-798-7583,경기도 광주시,개+고양이+반려동물
39,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,광주TNR동물병원초월,031-798-7581,경기도 광주시,개+고양이+반려동물
40,경상북도 구미시 해평면 낙동대로 2206  ,구미시 동물보호센터,054-471-5718,경상북도 구미시,개+고양이
41,전라북도 군산시 대야면 보덕안정길 108-20  ,군산유기동물보호센터,063-451-2975,전라북도 군산시,개+고양이+기타
42,서울특별시 용산구 이촌동 301-160,금강동물병원,02-798-7512,서울특별시 용산구,없음
43,대구광역시 수성구 동원로 150 (만촌동) 금강동물병원,금강동물병원,053-746-7111,대구광역시 수성구,개+고양이+기타
44,"경기도 파주시 금빛로 19 (금촌동, 파주프라임타워) ",금릉동물병원,031-948-3375,경기도 파주시,없음
45,경상북도 김천시 조마로 2128 (양천동) ,김천시 동물보호센터,***********,경상북도 김천시,개+고양이+기타
46,경기도 파주시 새꽃로 207 (아동동) 나은동물병원,나은동물병원,031-944-8288,경기도 파주시,없음
47,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,나주유기동물보호센터,***********,전라남도 나주시,개+고양이
48,충청남도 부여군 부여읍 성왕로 190-1  남부여동물병원,남부여동물병원,041-837-8275,충청남도 부여군,개+고양이
49,서울특별시 용산구 후암동 244-60,남산동물병원,02-778-7582,서울특별시 용산구,없음
50,울산광역시 남구 북부순환도로 40 (무거동) ,남산동물병원,052-224-8275,울산광역시 남구,개+고양이+기타
51,경기도 화성시 남양읍 화성로 1483-27 (남양읍) ,남양유기견보호센터,031-356-2281,경기도 화성시,개+고양이+기타
52,"경기도 남양주시 금곡로 44 (금곡동, 성원빌딩) 1층",남양주동물보호협회,031-591-7270,경기도 남양주시,개+고양이+기타
53,경상남도 남해군 이동면 무림로 33-13 (이동면) ,남해군유기동물보호소,055-862-5041,경상남도 남해군,개+고양이
54,"서울특별시 노원구 수락산로 258 (상계동, 호성빌딩) 1층",노원반려동물문화센터,02-933-8500,서울특별시 노원구,개
55,충청남도 논산시 시민로210번길 9 (내동) ,논산시청,041-746-6109,충청남도 논산시,없음
56,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,경상남도 김해시,개+고양이+기타
57,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,부산광역시 금정구,개+고양이+기타
58,부산광역시 해운대구 송정2로13번길 46 (송정동) ,누리동물병원,051-701-7599,부산광역시 수영구,개+고양이+기타
59,부산광역시 해운대구 송정2로13번길 46 (송정동) 누리동물병원,누리동물병원,051-701-7599,부산광역시 동래구,개+고양이+기타
60,부산광역시 해운대구 송정동 85-1,누리동물병원,051-701-7599,부산광역시 남구,개+고양이+기타
61,인천광역시 부평구 후정동로 60 (삼산동) ,늘푸른동물병원,032-507-0075,인천광역시 부평구,개+고양이+기타동물
62,강원도 정선군 정선읍 비봉로 46  ,다나동물병원,033-563-6563,강원도 정선군,개+고양이
63,충청북도 단양군 매포읍 우덕리 910번지,단양군유기동물보호소,***********,충청북도 단양군,개+고양이+기타
64,대구광역시 달성군 현풍면 원교길 6 (현풍면) ,달성축산동물병원,053-614-3775,대구광역시 달성군,개+고양이
65,전라남도 담양군 용면 시암골로 280-57 (용면) :용면 두장리 21번지,담양군 동물보호센터,***********,전라남도 담양군,개
66,충청남도 당진시 고대면 연동로 30-6 (고대면) ,당진시동물보호소,041-356-8210,충청남도 당진시,개+고양이
67,대구광역시 북구 호국로 229 (서변동) ,대구수의사회(달성군),053-764-3708,대구광역시 달성군,개+고양이+기타
68,대구광역시 서구 서대구로 64 (평리동) ,대구수의사회(아이펫),053-573-1175,대구광역시 서구,개+고양이
69,대구광역시 북구 호국로 229 (서변동) 대구경북수의사회관 6층,대구시수의사회,053-764-3708,대구광역시 동구,없음
70,대구광역시 중구 중앙대로 333 (남산동) ,대구시수의사회(고려),053-256-6100,대구광역시 중구,개+고양이+기타
71,대구광역시 서구 국채보상로 176 (중리동) ,대구시수의사회(더난),053-552-0075,대구광역시 서구,개+고양이
72,대구광역시 서구 서대구로 361 (비산동) 2층,대구시수의사회(더펫),070-4293-0622,대구광역시 서구,개+고양이
73,대구광역시 중구 남성로 서성로 34 (남성로) ,대구시수의사회(동산),053-254-3366,대구광역시 중구,개+고양이+기타
